broken,no,word,ipa,th,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,1,အ,ʔaˀ,อะ,,n,สระตัวที่ 1 ของภาษามอญ,adv,ติดอ่าง,,,,,,,,,,,,,,,
,2,အက္ညဝ်,ʔaˀ-kaˀɲɒw,อะ-กะญอว,,n,อาการอักเสบ,,,,,,,,,,,,,,,,,
,3,အကတညူ,ʔaˀ-kaˀ-tɒɲ-ɲù,อะ-กะ-ตอญ-ญู่,,n,อกตัญญู,n,ไม่รู้บุญคุณ,,,,,,,,,,,,,,,
,4,အကနိတ္ထ,ʔaˀ-kaˀ-nìˀt-tʰaˀ,อะ-กะ-นิ่ด-ทะ,,n,อกนิษฐ์,n,รูปพรหมชั้นสูงสุด,,,,,,,,,,,,,,,
,5,အကြာ,ʔaˀ-kra,อะ-กรา,,prep,ระหว่าง,prep,ท่ามกลาง,,,,,,,,,,,,,,,
,6,အကြိုက်,ʔaˀ-krɒk,อะ-กราฺก,,n,ความเหมาะสม,,,,,,,,,,,,,,,,,
,7,အကြီု,ʔaˀ-krɒm,อะ-กรอฺม,,n,การยกย่อง,n,การสรรเสริญ,n,บทนำ,n,อารัมภบท,,,,,,,,,,,
,8,အကွက်,ʔaˀkwaˀk,อะกวัก,,conj,สำหรับ,conj,เผื่อ,,,,,,,,,,,,,,,
,9,အကင်,ʔaˀ-kaˀŋ,อะ-กัง,,n,ผื่นคัน,n,อาการกำเริบที่เกิดจากพิษต่างๆ,,,,,,,,,,,,,,,
,10,အကင်ဂျိ,ʔaˀ-kaˀŋ-kjìˀ,อะ-กัง-กยิ่,,n,พิษคัน,,,,,,,,,,,,,,,,,
,11,အကင်ဇြုံဇါတ်,ʔaˀ-kaˀŋ-crùm-ca̤t,อะ-กัง-จรุ่ม-จ่าด,อะ-กัง-ซุม-จ่าด,n,พิษงูเห่า,,,,,,,,,,,,,,,,,
,12,အကင်မြန်,ʔaˀ-kaˀŋ-mɛ̤ˀròn,อะ-กัง-เมียะร่น,,n,พิษฝีดาด,,,,,,,,,,,,,,,,,
,13,အကပ်,ʔaˀ-kɒp,อะ-กอบ,,n,กรอบ,n,ขอบ,,,,,,,,,,,,,,,
,14,အကာပ်,ʔaˀ-kap,อะ-กาบ,,n,นกตะขาบ,n,นกกระเต็น,,,,,,,,,,,,,,,
,15,အကာရ,ʔaˀ-ka-rɛ̀ˀ,อะ-กา-เรี่ยะ,,n,ท่าทาง,n,อาการ,,,,,,,,,,,,,,,
,16,အကာသ,ʔaˀ-ka-saˀ,อะ-กา-ซะ,,n,อากาศ,n,ท้องฟ้า,,,,,,,,,,,,,,,
,17,အကာသ်,ʔaˀ-kas,อะ-กาซ,,n,อากาศ,n,ท้องฟ้า,,,,,,,,,,,,,,,
,18,အကာသဇဵု,ʔaˀ-ka-saˀ-cɤˀw,อะ-กา-ซะ-เจิ่ว,,n,อากาศเทวดา,,,,,,,,,,,,,,,,,
,19,အကေင်,ʔaˀ-kɒŋ,อะ-กอฺง,อะ-เกียง,n,ความเคยชิน,n,ประเพณี,n,ความสืบเนื่อง,,,,,,,,,,,,,
,20,အကေင်အကေင်,ʔaˀ-kɒŋ-ʔaˀ-kɒŋ,อะ-กอฺง-อะ-กอฺง,อะ-เกียง-อะ-เกียง,adj,ตามเคย,adj,เคยตัว,adj,เคยชิน,,,,,,,,,,,,,
,21,အကောပ်,ʔaˀ-kop,อะ-โกบ,,n,กรอบ,n,ขอบ,,,,,,,,,,,,,အကောပ်ကွဳ,n,ขอบล้อเกวียน
,22,အကောပ်အဝဲ,ʔaˀ-kop-ʔaˀ-wòa,อะ-โกบ-อะ-วั่ว,,n,วัฏสงสาร,n,วัฏจักร,,,,,,,,,,,,,,,
,23,အကံက်,ʔaˀ-kɒk,อะ-กอก,,n,ภาษี,n,ส่วย,,,,,,,,,,,,,,,
,24,အကး,ʔaˀ-kah,อะ-กะฮ,,n,ท้องฟ้า,,,,,,,,,,,,,,,,,
,25,အကြီုနဳဒါန်,ʔaˀ-krɒm-nì-ta̤n,อะ-กรอฺม-นี่-ต่าน,,n,บทคัดย่อ,n,เรื่องย่อ,n,บทนำ,,,,,,,,,,,,,
,26,အခြင်,ʔaˀ-kʰraˀŋ,อะ-ครัง,,adv,ทั้งๆที่,adv,มาตรว่า,adv,แม้ว่า,,,,,,,,,,,,,
,27,အခြင်,ʔaˀ-kʰraˀŋ,อะ-ครัง,,adv,ทั้งๆที่,adv,มาตรว่า,adv,แม้ว่า,,,,,,,,,,,,,
,28,အခန်,ʔaˀ-kʰɒn,อะ-คอน,,n,กัณฑ์,n,ตอน,n,ภาค,,,,,,,,,,,,,
,29,အခန်ဇၞော်,ʔaˀ-kʰɒn-cɛ̤ˀnòk,อะ-คอน-เจียะโน่ก,,n,บรรพ์,n,ตอนใหญ่,n,เรื่องยาว,,,,,,,,,,,,,
,30,အခန်ဇၞော်,ʔaˀ-kʰɒn-cɛ̤ˀnòk,อะ-คอน-เจียะโน่ก,,n,บรรพ์,n,ตอนใหญ่,n,เรื่องยาว,,,,,,,,,,,,,
,31,အခန်ဍောတ်,ʔaˀ-kʰɒn-ɗot,อะ-คอน-โดด,,n,บทกลอน,n,โคลง,,,,,,,,,,,,,,,
,32,အခဝ်,ʔaˀ-kʰɒw,อะ-คอว,,n,อักขระ,n,อักษร,,,,,,,,,,,,,,,
,33,အခါ,ʔaˀ-kʰa,อะ-คา,,n,ขวบ,n,ปี,,,,,,,,,,,,,,,
,34,အခါန်,ʔaˀ-kʰan,อะ-คาน,,n,อาคาร,,,,,,,,,,,,,,,,,
,35,အခိင်,ʔaˀ-kʰɤŋ,อะ-เคิง,,n,เวลา,,,,,,,,,,,,,,,,,
,36,အခိင်တ္ၚဲ,ʔaˀ-kʰɤŋ-taˀŋoa ,อะ-เคิง-ตะงัว ,,n,เวลากลางวัน,,,,,,,,,,,,,,,,,
,37,အခိင်ဗ္တမ်,ʔaˀ-kʰɤŋ-pɛ̀ˀ-tɒm ,อะ-เคิง-เปี่ยะ-ตอม ,,n,เวลากลางคืน,,,,,,,,,,,,,,,,,
,38,အခေင်ပၞာန်,ʔaˀ-kʰɒŋ-paˀnan ,อะ-คอฺง-ปะนาน ,,n,จตุรงคเสนา,n,กระบวนทัพ,,,,,,,,,,,,,,,
,39,အခေါဗနဳ,ʔaˀ-kʰao-pɛ̀ˀ-nì ,อะ-เคา-เปี่ยะ-นี่ ,,adj,มากจนนับไม่ถ้วน,adj,มากเหลือนับ,adj,อักโข,,,,,,,,,,,,,
,40,အခေါင်,ʔaˀ-kʰoŋ ,อะ-โคง ,,n,การให้โอกาส,n,การอนุญาติ,,,,,,,,,,,,,,,
,41,အခေါန်,ʔaˀ-kʰon ,อะ-โคน ,,n,ภาษี,n,ส่วย,n,อากร,,,,,,,,,,,,,
,42,အခေါန်ဖလာ,ʔaˀ-kʰon-pʰaˀ-lɛ̀a ,อะ-โคน-พะ-เลีย ,,n,ภาษีอากร,,,,,,,,,,,,,,,,,
,43,အခေါန်အဒါန်,ʔaˀ-kʰon-ʔaˀ-ta̤n ,อะ-โคน-อะ-ต่าน ,,n,ภาษีอากร,,,,,,,,,,,,,,,,,
,44,အချဴ,ʔaˀ-kʰjao ,อะ-คยาว ,,n,มดแดง,,,,,,,,,,,,,,,,,
,45,အခိုက်,ʔaˀ-kʰɒk ,อะ-คาฺก ,,n,ท่าทาง,n,แบบอย่าง,n,จารีต,,,,,,,,,,,,,
,46,အခိုက်ကနာ,ʔaˀ-kʰɒk-kaˀ-nɛ̀a ,อะ-คาฺก-กะ-เนีย ,,n,ท่าทาง,n,แบบอย่าง,n,จารีต,,,,,,,,,,,,,
,47,အခိုင်,ʔaˀ-kʰɒŋ ,อะ-คาฺง ,,n,ความมั่นคง,n,ความแข็งแรง,n,ความสำคัญ,,,,,,,,,,,,,
,48,အခိုင်အနိင်,ʔaˀ-kʰɒŋ-ʔaˀ-nɤˀŋ ,อะ-คาฺง-อะ-เนิ่ง ,,adv,โดยพลังการ,adv,โดยใช้อำนาจ,adv,โดยเผด็จการ,,,,,,,,,,,,,
,49,အဂတိ,ʔaˀ-kɛ̀ˀ-tɔɪ ,อะ-เกี่ยะ-ตอฺย ,,n,อคติ,n,ความลำเอียง,,,,,,,,,,,,,,,
,50,အဂၞု,ʔaˀ-kɛ̤ˀnuˀ ,อะ-เกี่ยะนุ่ ,,n,บุนนาค,,,,,,,,,,,,,,,,,
,51,အဂၞဲ,ʔaˀ-kɛ̤ˀnòa ,อะ-เกี่ยะนั่ว ,,n,ทิศอาคเนย์,n,ทิศตะวันออกเฉียงใต้,,,,,,,,,,,,,,,
,52,အဂြင်,ʔaˀ-krɛˀŋ ,อะ-แกร่ง ,,n,ตั๊กแตนปาทังก้า,,,,,,,,,,,,,,,,,
,53,အဂၠဴ,ʔaˀ-klɛ̀a ,อะ-เกลีย ,,n,กฤษณา,n,จันทนา,,,,,,,,,,,,,,,
,54,အဂန္တုက,ʔaˀ-kòn-taò-kaˀ ,อะ-ก่น-เต่า-กะ ,,n,อาคันตุกะ,n,ผู้มาเยือน,n,แขก,,,,,,,,,,,,,
OK,55,အဂှ်,ʔaˀ-kòh ,อะ-โก่ฮ ,,n,สถานที่นั้น,n,ที่นั้น,,,,,,,,,,,,,,,
,56,အဂီု,ʔaˀ-kɤˀm ,อะ-เกิ่ม ,,n,นิยาย,n,เรื่องเล่า,n,นิทาน,,,,,,,,,,,,,
,57,အဃော,ʔaˀ-kʰəʊ ,อะ-โคว ,,adv,ขณะ,adv,กำลัง (กระทำอยู่),n,เวลา,n,ขณะ,,,,,,,,,,,
,58,အၚပ်,ʔaˀ-ŋòp ,อะ-ง่บ ,,n,ความอยาก,n,ความปรารถนา,,,,,,,,,,,,,,,
,59,အၚဝ်,ʔaˀ-ŋòw ,อะ-โง่ว ,,n,ท่าทาง,n,คู่,,,,,,,,,,,,,,,
,60,အၚာ,ʔaˀ-ŋɛ̀a ,อะ-เงีย ,,n,ชื่อดาวนพเคราะห์,n,วันอังคาร,,,,,,,,,,,,,,,
,61,အၚာပ်,ʔaˀ-ŋèp ,อะ-เง่บ ,,n,กราม,,,,,,,,,,,,,,,,,
,62,အေၚာဝ်,ʔe-ŋɛ̀a ,เอ-เงีย ,,n,คู่,adj,คล้าย,adj,เหมือน,,,,,,,,,,,,,
,63,အစင်ခြင်,ʔaˀ-caˀŋ-kʰraˀŋ ,อะ-จัง-ครัง ,,n,ความคิด,n,ความรำพึง,n,ความใคร่ครวญ,,,,,,,,,,,,,
,64,အစပ်,ʔaˀ-cɒp ,อะ-จอบ ,,v,ติดกัน,v,ต่อกัน,adj,ต่อเนื่อง,adj,ต่อกัน,adj,พอเหมาะ,adj,พอดี,adj,ถัด,adj,ต่อจาก,,,
,65,အစပ်သဟာဲ,ʔaˀ-cɒp-saˀ-hai ,อะ-จอบ-ซะ-ฮาย ,,n,เพื่อนสนิท,,,,,,,,,,,,,,,,,
,66,အစါ,ʔaˀ-ca ,อะ-จา ,,n,อาจารย์,n,ผู้ชำนาญเฉพาะทาง,,,,,,,,,,,,,,,
,67,အစါကၞေဟ်,ʔaˀ-ca-kaˀneh ,อะ-จา-กะเนฮ ,,n,ช่างจานหนังสือ,n,นักเขียน,,,,,,,,,,,,,,,
,68,အစါကမာန်,ʔaˀ-ca-kaˀ-ma̤n ,อะ-จา-กะ-ม่าน ,,n,ช่างจักสาน,n,ช่างจักตอก,,,,,,,,,,,,,,,
,69,အစါကဝတ်,ʔaˀ-ca-kaˀ-wòt ,อะ-จา-กะ-ว่ด ,,n,หมอนวด,,,,,,,,,,,,,,,,,
,70,အစါကဝိ,ʔaˀ-ca-kaˀ-wìˀ ,อะ-จา-กะ-วิ่ ,,n,นักประพันธ์,n,นักกวี,,,,,,,,,,,,,,,
