broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,532,ဨက,e-kaˀ ,เอ-กะ ,,,adj,เอก,adj,หนึ่ง,n,เอเคอร์,,,,,,,,,,,,,
,533,ဨကရာဇ်,e-kaˀ-ra̤c ,เอ-กะ-ร่าจ ,,,n,พระเจ้าแผ่นดิน,n,กษัตริย์,,,,,,,,,,,,,,,
,534,ဨကဂ္ဂတာ,e-kaˀk-kɛ̀ˀ-ta ,เอ-กัก-เกี่ยะ-ตา ,,,n,ความแน่งแน่,n,ความเป็นหนึ่งเดียว,,,,,,,,,,,,,,,
,535,ဨကန်,e-kɒn ,เอ-กอน ,,,adj,ที่สุด,adj,แน่นอน,adj,แท้จริง,,,,,,,,,,,,,
,536,ဨကန္တ,e-kɒn-taˀ ,เอ-กอน-ตะ ,,,adj,ที่สุด,adj,แน่นอน,adj,แท้จริง,,,,,,,,,,,,,
,537,ဨကောဝ,e-kao-wɛ̀ˀ ,เอ-เกา-เวี่ยะ ,,,adj,โดดเดี่ยว,adj,ผู้เดียว,,,,,,,,,,,,,,,
,538,ဨရာ,e-rɛ̀a ,เอ-เรีย ,,,n,กระดูกงูเรือ,,,,,,,,,,,,,,,,,
,539,ဨရှာဝိုန်,e-hra-wɤˀn ,เอ-ฮรา-เวิ่น ,,,n,ช้างเอราวัณ,,,,,,,,,,,,,,,,,
,540,ဨသာန်,e-san ,เอ-ซาน ,,,n,อีสาน,n,ทิศตะวันออกเฉียงเหนือ,,,,,,,,,,,,,,,
,541,ဨဟိ,e-hɔɪ ,เอ-ฮอฺย ,,,v,จงมา,v,มาซี,,,,,,,,,,,,,,,
